path,row,lat_CTR,lon_CTR,lat_UL,lon_UL,lat_UR,lon_UR,lat_LL,lon_LL,lat_LR,lon_LR
196,40,28.869305082872923,0.6699312154696133,29.91481895027625,-0.06886049723756904,29.535915635359114,1.8494464640883979,28.190540718232043,-0.4960628729281767,27.811006298342544,1.3904311602209947
196,41,27.431423186813184,0.3042832417582418,28.476531923076926,-0.42600967032967035,28.099893296703296,1.4669034615384615,26.751341153846155,-0.8458060439560439,26.373840329670333,1.0174771978021977
196,42,25.99266082417583,-0.0580862087912088,27.037268461538464,-0.7800463186813188,26.662858901098897,1.0884586263736264,25.311390714285714,-1.1930446153846153,24.935930824175824,0.6479239010989011
196,43,24.553069999999995,-0.41095419889502766,25.597662651933703,-1.1251612707182321,25.22523425414365,0.720934861878453,23.870326077348064,-1.5321609944751384,23.49665187845304,0.28837276243093923
196,44,23.112698121546966,-0.7580614364640883,24.157008508287294,-1.4651092817679559,23.786384364640885,0.3602133149171271,22.42891298342542,-1.8665198342541436,22.056860552486185,-0.06486088397790055
196,45,21.671595722222225,-1.0999296111111114,22.715652,-1.8002463888888889,22.34669127777778,0.005728055555555556,20.986863166666666,-2.1965988888888885,20.616306833333333,-0.4124706111111111
196,46,20.229840384615382,-1.4369659340659338,21.27336961538462,-2.1310179670329665,20.905957912087914,-0.3430819230769231,19.544526813186813,-2.522660824175824,19.175360384615384,-0.7548153846153846
196,47,18.787411648351647,-1.7663579670329668,19.830883186813185,-2.454763461538462,19.464776758241758,-0.682953021978022,18.101263626373626,-2.842345824175824,17.733228461538463,-1.0889534615384615
196,48,17.344427071823205,-2.0952100000000002,18.387753038674035,-2.778281712707183,18.022887845303867,-1.0215540331491715,16.657604806629834,-3.162191436464088,16.29067596685083,-1.4222608839779007
196,49,15.90093122905028,-2.420507597765363,16.94413597765363,-3.098738547486033,16.58036625698324,-1.3556695530726257,15.213553016759777,-3.479386927374302,14.847592513966482,-1.75154625698324
196,50,14.456905480225988,-2.7425198305084746,15.500352429378532,-3.4162888700564964,15.137554011299436,-1.6855529943502827,13.768713728813557,-3.7942124293785318,13.403605593220338,-2.0771879096045196
196,51,13.012462359550565,-3.0618468539325843,14.055873539325843,-3.731683651685393,13.693915505617976,-2.011969775280899,12.32386713483146,-4.107124157303371,11.959488483146067,-2.3996446629213484
196,52,11.567652640449436,-3.3786566292134834,12.611032977528088,-4.044940842696629,12.249827528089886,-2.335109831460674,10.87872129213483,-4.418253258426967,10.514988764044945,-2.719213595505618
196,53,10.122437640449439,-3.6933715730337076,11.16614702247191,-4.356443764044943,10.805595393258429,-2.6553209550561796,9.43291606741573,-4.7281232022471915,9.069738146067417,-3.036383932584269
196,54,8.676955730337077,-4.005980617977529,9.720679550561798,-4.666382921348315,9.36065095505618,-2.97266797752809,7.987273202247191,-5.03662106741573,7.6245215168539335,-3.3509075842696627
196,55,7.231219608938546,-4.317081005586592,8.27497905027933,-4.97519653631285,7.915390893854748,-3.2877868715083793,6.541433854748604,-5.3443227374301685,6.17903217877095,-3.663553854748603
196,56,5.785210380434783,-4.627070923913044,6.82839347826087,-5.283450163043478,6.4691451086956535,-3.6011800000000007,5.096033586956522,-5.651519945652173,4.733881739130434,-3.974547336956522
196,57,4.3390518994413405,-4.9382180446927375,5.383913575418994,-5.592949832402234,5.024850391061452,-3.914384022346369,3.648379888268156,-5.961210558659217,3.286327653631285,-4.286625195530727
196,58,2.892771393442623,-5.24446286885246,3.937748442622951,-5.898210655737706,3.578750573770492,-4.222327704918033,2.2022932786885248,-6.266352868852459,1.8402209836065575,-4.593134918032787
196,105,-64.22521373626373,-27.605740549450545,-63.09626406593407,-28.746515494505495,-63.70278901098902,-25.053519890109893,-64.7092345054945,-30.254145494505487,-65.34853373626372,-26.36530428571428
196,108,-68.279683,-31.720872250000003,-67.12467162499999,-32.885205,-67.81631,-28.656679000000004,-68.692357875,-34.907952125,-69.42967637500001,-30.430054374999997
196,109,-69.60644125000002,-33.407363625,-68.441179375,-34.564145625,-69.169032875,-30.124275374999996,-69.98785862499999,-36.822742375000004,-70.76718025,-32.114422749999996
196,110,-70.91662605263159,-35.30242118421052,-69.74042355263157,-36.43737539473684,-70.50931039473684,-31.769719736842102,-71.26188644736844,-38.976326842105266,-72.08899355263156,-34.022206447368426
196,111,-72.2066892105263,-37.44910026315789,-71.01897223684212,-38.54184421052631,-71.83449276315791,-33.630679868421055,-72.50989644736842,-41.41594947368421,-73.39150657894736,-36.20361973684211
196,112,-73.47198773333334,-39.905544133333336,-72.27237653333333,-40.9269168,-73.14120346666668,-35.759090533333335,-73.7258236,-44.204004,-74.6698884,-38.727636133333334
196,113,-74.70648,-42.73447852941177,-73.4950395588235,-43.64350014705882,-74.42478941176468,-38.2113605882353,-74.9021286764706,-47.40628147058823,-75.91763088235294,-41.67217882352941
196,114,-75.90208132352939,-46.015834852941175,-74.67963044117647,-46.75507720588236,-75.6789905882353,-41.0615425,-76.02890617647058,-51.10316,-77.12585573529411,-45.13919911764706
196,115,-77.04820728395062,-49.85537197530864,-75.81675209876542,-50.3445338271605,-76.89550320987655,-44.41197703703704,-77.09338925925927,-55.39526185185185,-78.28254197530863,-49.26648049382716
196,116,-78.13675222222224,-54.42622305555556,-76.90026222222224,-54.55082055555556,-78.07006444444445,-48.435740555555554,-78.0840125,-60.4417686111111,-79.37709805555556,-54.276134444444445
196,117,-79.13624200000001,-59.81122085714286,-77.90184971428572,-59.42374999999999,-79.173192,-53.24045685714287,-78.96854114285713,-66.28403257142857,-80.37385057142858,-60.30243914285714
196,118,-80.02876916666666,-66.18555541666666,-78.80815611111112,-65.09745555555554,-80.19048111111111,-59.044893472222235,-79.72754041666667,-73.03498916666666,-81.24855986111112,-67.58254972222221
196,119,-80.78289544117646,-73.67178397058824,-79.5939663235294,-71.66840205882352,-81.09216470588233,-66.0653963235294,-80.33107632352942,-80.7169944117647,-81.96091617647059,-76.27265102941178
196,120,-81.36131312499998,-82.29603515624999,-80.22918109375,-79.17710203125,-81.83897859375,-74.48015343750001,-80.74759671875,-89.23441328125,-82.463764375,-86.35094562500001
196,121,-81.72710216666664,-91.89514150000001,-80.68298549999999,-87.551036,-82.385244,-84.30922,-80.95124966666666,-98.32973383333334,-82.71358683333332,-97.46616133333332
