path,row,lon_CTR,lat_CTR,lon_UL,lat_UL,lon_UR,lat_UR,lon_LL,lat_LL,lon_LR,lat_LR
107.0,15.0,153.4161518064516,64.2252233548387,152.21823793548387,65.34013825806451,156.02570316129032,64.71634445161291,150.8969678064516,63.68935174193548,154.50787012903226,63.09177683870967
107.0,16.0,152.28097173913045,62.854901987577634,151.10637279503106,63.9626250931677,154.74920254658386,63.364360186335404,149.89577782608694,62.30381186335404,153.35775695652174,61.72856819875776
107.0,17.0,151.2384851744186,61.477359651162786,150.08867494186043,62.578600872093034,153.5801470348837,62.003125058139524,148.97316505813953,60.91273808139535,152.29814860465117,60.35749918604651
107.0,18.0,150.2752026111111,60.09348177777778,149.1507298888889,61.18883783333334,152.50309855555557,60.6337593888889,148.1175268888889,59.516847444444444,151.31649011111114,58.979572222222224
107.0,19.0,149.3821190340909,58.704062443181826,148.28423806818182,59.79527630681818,151.50786335227272,59.25861676136364,147.32117846590907,58.11537022727273,150.40311914772727,57.59440562499999
107.0,25.0,145.0777024309392,50.281086906077356,144.1183852486188,51.34809337016574,146.7567362430939,50.88915425414365,143.43902624309393,49.648762651933694,145.98779243093924,49.196942541436464
107.0,26.0,144.48807384615384,48.86633318681319,143.54923983516483,49.93067758241759,146.1129842857143,49.48093972527472,142.9006028021978,48.22868780219779,145.38099197802197,47.78512571428572
107.0,27.0,143.92540644808744,47.4491338251366,143.0061438797814,48.51107327868853,145.50047617486337,48.069728579234976,142.38510841530055,46.80662595628415,144.80180781420765,46.3706100546448
107.0,28.0,143.38698371584698,46.02971377049181,142.48645387978146,47.089472950819676,144.91599338797815,46.65582251366121,141.89028934426227,45.38274732240436,144.24746595628415,44.95366142076504
107.0,29.0,142.87059137362638,44.6082110989011,141.98788428571427,45.66632538461539,144.35726582417584,45.23967318681319,141.41398851648353,43.95686214285714,143.7158368131868,43.53408774725275
107.0,30.0,142.37385302197802,43.18481840659341,141.5080102197802,44.24117093406594,143.82121554945056,43.82093521978022,140.95447934065933,42.52973752747252,143.20464175824176,42.11275318681319
107.0,31.0,141.89521552486187,41.75962657458563,141.04536281767955,42.81439436464088,143.3061779558011,42.40002817679558,140.5103122651934,41.10112585635359,142.7122432044199,40.689444143646405
107.0,32.0,141.43284889502763,40.33277961325967,140.5983809392265,41.386099337016574,142.80984580110496,40.9771926519337,140.08010618784533,39.67107718232044,142.23655861878453,39.26433872928177
107.0,33.0,140.98545194444443,38.904354944444435,140.16551883333332,39.95637883333333,142.33096383333333,39.55246422222222,139.66252338888887,38.23971866666666,141.7765568333333,37.83750355555556
107.0,34.0,140.55167244444445,37.47450655555555,139.74507505555556,38.525424722222226,141.8683562777778,38.12593127777778,139.25602977777777,36.807289499999996,141.33124066666667,36.40906694444445
107.0,35.0,140.13025464088398,36.04325127071823,139.3366188950276,37.09314966850829,141.4198217679558,36.697842651933705,138.86027966850827,35.37355314917127,140.8985513812155,34.979126685082875
107.0,36.0,139.7203014364641,34.610737513812154,138.9389232044199,35.659722375690606,140.98464563535913,35.26826232044199,138.4741904972376,33.93875933701658,140.47792248618782,33.54782331491713
107.0,37.0,139.32065922651933,33.17701,138.55082895027627,34.225183480662984,140.56157607734806,33.83724624309392,138.09670005524865,32.502941712707184,140.06821955801104,32.115202154696135
107.0,38.0,138.93097502824858,31.742152485875707,138.17213531073446,32.79061355932203,140.15054124293783,32.40584683615819,137.7271985310734,31.06522079096045,139.66893107344632,30.68035604519774
107.0,41.0,137.808594,27.431404000000004,137.07779,28.478188,138.97226799999999,28.101513999999998,136.657518,26.749732,138.52228599999998,26.372196000000002
107.0,46.0,136.07360191860462,20.2298626744186,135.37959761627906,21.275218837209305,137.16822523255811,20.9077113372093,134.98719546511626,19.54281598837209,136.75568511627907,19.1735288372093
107.0,47.0,135.73580799999996,18.787312,135.04764800000004,19.832442,136.81960599999996,19.466482,134.659458,18.099394,136.412984,17.731500000000004
107.0,56.0,132.88061319767442,5.7852026162790695,132.2242044767442,6.8293891279069765,133.90691372093025,6.470095523255815,131.85576877906976,5.095079244186047,133.53317930232558,4.732880581395349
107.0,57.0,132.57176425287355,4.339052298850575,131.91681942528734,5.3833058620689656,133.59552557471264,5.024257298850574,131.54885701149425,3.6489844827586215,133.22359051724138,3.2869454022988505
107.0,58.0,132.26398329479767,2.8927884393063583,131.61018023121386,3.9374609248554915,133.2859805780347,3.578569768786127,131.24223705202314,2.2025143930635838,132.91537913294798,1.8405483815028898
107.0,59.0,131.95665046242775,1.446438092485549,131.30351843930637,2.491202774566474,132.9775247398844,2.1323751445086705,130.93542260115606,0.7563767630057804,132.6080787283237,0.39439167630057803
107.0,60.0,131.64932229050277,1.5642458100558645e-06,130.99634581005586,1.0442124581005587,132.66964033519557,0.6853615642458101,130.6280658659218,-0.6891282122905028,132.30131284916203,-1.0512187709497207
107.0,61.0,131.3422066666667,-1.446401722222222,130.68920888888888,-0.40207550000000003,132.36271594444446,-0.7609968333333336,130.32015433333333,-2.1352079999999996,131.99491683333332,-2.497450111111111
107.0,62.0,131.03476346368717,-2.892781731843575,130.38123111731844,-1.8479868715083803,132.05642927374302,-2.2071464245810057,130.01095687150837,-3.5814501675977652,131.68871854748605,-3.944014636871508
107.0,63.0,130.72703177142856,-4.339043085714285,130.0728133142857,-3.2937924571428563,131.75033182857143,-3.6531817714285717,129.70098742857144,-5.027575714285714,131.38238582857142,-5.390451771428571
107.0,64.0,130.4183546745562,-5.785225976331361,129.76286562130178,-4.739829349112426,131.44403449704143,-5.09958775147929,129.389315147929,-6.47316573964497,131.0756881065089,-6.8364967455621315
107.0,65.0,130.10876329411764,-7.231191470588236,129.45143994117646,-6.185958294117647,131.13757370588235,-6.546216764705883,129.07598005882352,-7.9180941764705866,130.76865729411765,-8.282014352941177
107.0,66.0,129.79784473372783,-8.676952781065088,129.13856153846154,-7.630822899408284,130.8306774556213,-7.99164,128.76040656804736,-9.363815088757397,130.4604323668639,-9.728384615384615
107.0,67.0,129.48547641509435,-10.12246679245283,128.8236740880503,-9.076106918238994,130.52297566037734,-9.437628364779874,128.44273559748427,-10.808471320754716,130.15133157232708,-11.173841132075474
107.0,68.0,129.17080342857142,-11.567649285714284,128.5060455714286,-10.521041714285714,130.2137275,-10.883352285714286,128.1219860714286,-12.252729714285715,129.8403732142857,-12.618988857142858
